<b></b>,<b><u>Total</u></b>,Unnamed: 2,<b><u>Externalizing</u></b>,Unnamed: 4,<b><u>Internalizing</u></b>,Unnamed: 6
<b></b>,<b>Girls</b>,<b>Boys</b>,<b>Girls</b>,<b>Boys</b>,<b>Girls</b>,<b>Boys</b>
Age 1–5,,,,,,
Overweight,0.015,-0.024,0.016,-0.003,-0.037,"-0.085<sup><a href=""http://www.plosone.org/article/info:doi/10.1371/journal.pone.0161380#t005fn002"" target=""_blank"">*</a></sup>"
95% CI,"(-0.070, 0.100)","(-0.106, 0.057)","(-0.068, 0.101)","(-0.085, 0.080)","(-0.119, 0.045)","(-0.163, -0.006)"
Age 6,,,,,,
Overweight,"0.270<sup><a href=""http://www.plosone.org/article/info:doi/10.1371/journal.pone.0161380#t005fn002"" target=""_blank"">*</a></sup>",0.028,0.151,0.055,0.207,-0.178
95% CI,"(0.047, 0.493)","(-0.173, 0.230)","(-0.073, 0.374)","(-0.134, 0.243)","(-0.028, 0.442)","(-0.375, 0.018)"
